"";"fala";"autor";"comentario";"data"
"812";"Eu quero também cumprimentar, como já foi aqui objeto de agradecimento do Relator desta Comissão, os nossos colaboradores informais, que foram milhares, através das redes sociais. Não tinha um depoimento em que nós não recebêssemos de vários – eu não vou citar um nome especificamente para não ser injusto – colaboradores, que mandavam informações para a gente, e, no momento em que a gente percebeu que as mentiras eram mais frequentes do que a verdade, mesmo sob juramento de falar a verdade, a gente passou a ter uma checagem em tempo real pelos internautas, pelas pessoas que acompanhavam a CPI, que iam pesquisar e que acabavam dando para a gente elementos que mostravam o quanto um depoente estava fugindo da verdade – ou mentindo ou omitindo. Com isso tudo, nós construímos um relatório, que tem um grande diretor da obra, que é o seu Relator, mas esse relatório teve a contribuição de milhares de brasileiros e brasileiras que acompanharam esta Comissão Parlamentar de Inquérito com uma especial atenção: a atenção de um povo que sofria a perda dos seus entes queridos. Não é à toa que esta CPI chegou a próximo de 70% de aprovação da opinião pública; chegou porque as pessoas estavam compreendendo e acreditando que daqui nós poderíamos trazer as explicações do que estava acontecendo com o Brasil e o que poderia ser feito para que a gente saísse daquela crise.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"813";"Não tinha um depoimento em que nós não recebêssemos de vários – eu não vou citar um nome especificamente para não ser injusto – colaboradores, que mandavam informações para a gente, e, no momento em que a gente percebeu que as mentiras eram mais frequentes do que a verdade, mesmo sob juramento de falar a verdade, a gente passou a ter uma checagem em tempo real pelos internautas, pelas pessoas que acompanhavam a CPI, que iam pesquisar e que acabavam dando para a gente elementos que mostravam o quanto um depoente estava fugindo da verdade – ou mentindo ou omitindo.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"814";"Com isso tudo, nós construímos um relatório, que tem um grande diretor da obra, que é o seu Relator, mas esse relatório teve a contribuição de milhares de brasileiros e brasileiras que acompanharam esta Comissão Parlamentar de Inquérito com uma especial atenção: a atenção de um povo que sofria a perda dos seus entes queridos. Não é à toa que esta CPI chegou a próximo de 70% de aprovação da opinião pública; chegou porque as pessoas estavam compreendendo e acreditando que daqui nós poderíamos trazer as explicações do que estava acontecendo com o Brasil e o que poderia ser feito para que a gente saísse daquela crise.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"815";"Ao mesmo tempo em que esta CPI mostrou o que estava acontecendo e por que muita gente estava perdendo a vida e muita gente estava perdendo seus entes queridos, também esta CPI foi capaz de apressar o processo de imunização; esta CPI foi capaz de desmontar a ideia de que havia um tratamento milagroso de prevenção, de tratamento precoce com o tal do kit covid; esta CPI foi capaz de mostrar a irresponsabilidade de colaboradores informais do próprio Presidente e de colaboradores formais na condução da pandemia, no sentido de ampliar o contágio para promover imunidade coletiva ou imunidade de rebanho em si, essa prática que nós perseguimos como um objeto de entendimento e de comprovação. Não foi a omissão que nos levou a 605.884 mortes; foi a ação dolosa de quem dirigiu o Brasil nesse período que levou a essa marca terrível que fica marcada, que fica registrada história como um dos momentos mais macabros da vida deste jovem país chamado Brasil.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"816";"Portanto, nós conseguimos... Além de explicar para as pessoas por que tudo isso estava acontecendo, nós conseguimos mostrar para o País como evitar que essa marca macabra fosse adiante, ou seja, mostrando, impedindo que compras não fossem feitas, vacinas e negociações, por conta da emergência sanitária, que estavam sendo tentadas para produzir vantagens indevidas para determinados segmentos, caracterizando assim a corrupção. Esta CPI garantiu que os adolescentes, que os jovens pudessem ser vacinados. Essa CPI garantiu muito do que a gente conquistou ao longo do trabalho dela e de diminuição do sofrimento da população brasileira. Mas eu aqui também quero fazer um agradecimento especial ao Congresso brasileiro, porque a resistência ao modo como se conduziu a pandemia no Brasil também teve resistência fora da CPI: teve resistência no Congresso Nacional, quando nós aprovamos o auxílio emergencial de R$600, quando nós aprovamos a PEC emergencial; quando neste ano nós no PL, emenda de minha autoria, aprovamos tirar do teto gastos com o Pronampe, gastos com algumas áreas que foram fundamentais para garantir financiamento a políticas públicas de suporte às consequências decorrentes da pandemia. Então, o Congresso Nacional foi muito importante, como foi importante a comunidade acadêmica brasileira, que não se entregou, que resistiu, que não embarcou nessa loucura de imunidade de rebanho adquirida naturalmente e resistiu, resistiu com firmeza. Então, queria aqui também deixar o agradecimento e registrar o papel da sociedade acadêmica de uma maneira geral, que contribuiu também com o debate desta Comissão Parlamentar de Inquérito.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"817";"Esta CPI garantiu que os adolescentes, que os jovens pudessem ser vacinados. Essa CPI garantiu muito do que a gente conquistou ao longo do trabalho dela e de diminuição do sofrimento da população brasileira.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"818";"Mas eu aqui também quero fazer um agradecimento especial ao Congresso brasileiro, porque a resistência ao modo como se conduziu a pandemia no Brasil também teve resistência fora da CPI: teve resistência no Congresso Nacional, quando nós aprovamos o auxílio emergencial de R$600, quando nós aprovamos a PEC emergencial; quando neste ano nós no PL, emenda de minha autoria, aprovamos tirar do teto gastos com o Pronampe, gastos com algumas áreas que foram fundamentais para garantir financiamento a políticas públicas de suporte às consequências decorrentes da pandemia.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"819";"Então, o Congresso Nacional foi muito importante, como foi importante a comunidade acadêmica brasileira, que não se entregou, que resistiu, que não embarcou nessa loucura de imunidade de rebanho adquirida naturalmente e resistiu, resistiu com firmeza. Então, queria aqui também deixar o agradecimento e registrar o papel da sociedade acadêmica de uma maneira geral, que contribuiu também com o debate desta Comissão Parlamentar de Inquérito.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"820";"Também não menos importante, e eu diria um dos setores de maior importância para a gente enfrentar essa batalha do obscurantismo, do negacionismo, da irresponsabilidade, essa batalha contra uma ação criminosa contra o povo brasileiro, foi o papel da imprensa brasileira. A imprensa cobriu esta CPI, revelando os fatos centrais que permitiram aos brasileiros ter uma história contada de forma factual, baseada em fatos objetivos, que foram sendo revelados e que foram organizados e apresentados à sociedade brasileira, passando assim a construir um entendimento e produzindo na sociedade um comportamento que em saúde pública é muito importante, que é um comportamento mais adequado, menos de risco, coisa que fora produzida em contrário: o Governo, seus apoiadores construíram na sociedade um comportamento de risco, construíram um comportamento de expor as pessoas ao contágio, construíram um comportamento de dar para as pessoas essa sensação de proteção com medicamentos sem eficácia, portanto construíram um comportamento que levava as pessoas a aumentar o risco de morrer na pandemia. Não só aquelas que acreditavam, mas aquelas que não acreditavam que estavam perto das que acreditavam. E a imprensa, aos poucos, nos ajuda, nesse trabalho da CPI, a evitar ou a diminuir esse comportamento de risco da sociedade brasileira, e nós passamos a ver o Brasil usando máscaras, mesmo com o Presidente dizendo que não era pra usar máscaras, e sair de 50% de pessoas que acreditavam na vacina pra 96% da população, que quer se vacinar. Ou seja, a gente foi mudando o comportamento da população, saindo de um comportamento de risco, de levar à morte de brasileiros e brasileiras, pra um comportamento de menor risco de perda de vidas, que é o que mais importa. Portanto, ficam aqui os nossos agradecimentos a todos que fizeram esta Comissão, a todos que trabalharam incessantemente ao longo desses meses, e o nosso agradecimento aos colaboradores anônimos das redes sociais, brasileiros e brasileiras do Brasil inteiro, e à imprensa brasileira, que ajudou a gente a construir não uma narrativa, mas a construir o modo como a história... a contar a verdadeira história dos 605.884 brasileiros que perderam suas vidas. A imprensa ajudou a gente a contar a história dessas tragédias individuais e dessa catástrofe sanitária. Não é uma narrativa; foi a construção dos fatos e a construção de uma história, que ficarão marcados eternamente de forma correta, por conta do trabalho de todos esses que aqui mencionei. Muito obrigado, Sr. Presidente. E parabéns, mais uma vez, pela forma serena com que conduziu os trabalhos ao longo desta CPI! Muito obrigado.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"821";"E a imprensa, aos poucos, nos ajuda, nesse trabalho da CPI, a evitar ou a diminuir esse comportamento de risco da sociedade brasileira, e nós passamos a ver o Brasil usando máscaras, mesmo com o Presidente dizendo que não era pra usar máscaras, e sair de 50% de pessoas que acreditavam na vacina pra 96% da população, que quer se vacinar. Ou seja, a gente foi mudando o comportamento da população, saindo de um comportamento de risco, de levar à morte de brasileiros e brasileiras, pra um comportamento de menor risco de perda de vidas, que é o que mais importa.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"822";"Portanto, ficam aqui os nossos agradecimentos a todos que fizeram esta Comissão, a todos que trabalharam incessantemente ao longo desses meses, e o nosso agradecimento aos colaboradores anônimos das redes sociais, brasileiros e brasileiras do Brasil inteiro, e à imprensa brasileira, que ajudou a gente a construir não uma narrativa, mas a construir o modo como a história... a contar a verdadeira história dos 605.884 brasileiros que perderam suas vidas. A imprensa ajudou a gente a contar a história dessas tragédias individuais e dessa catástrofe sanitária. Não é uma narrativa; foi a construção dos fatos e a construção de uma história, que ficarão marcados eternamente de forma correta, por conta do trabalho de todos esses que aqui mencionei.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"823";"Muito obrigado, Sr. Presidente. E parabéns, mais uma vez, pela forma serena com que conduziu os trabalhos ao longo desta CPI!";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"824";"Muito obrigado.";"Rogério Carvalho";"Bloco Parlamentar da Resistência Democrática/PT - SE. Para discutir.";"26/10/2021"
"825";"– Nós é que agradecemos, Senador Rogério Carvalho, inclusive a contribuição que V. Exa. tem prestado aos trabalhos desta Comissão Parlamentar de Inquérito. Na condição de suplente, V. Exa. foi tão importante ou muito mais do que a atuação de muitos dos membros titulares efetivos. Eu o cumprimento por isso.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"826";"Na sequência, retornando à lista de oradores então, o Senador Marcos Rogério.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"827";"– Pela ordem, Sr. Presidente.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS";"26/10/2021"
"828";"– Sr. Presidente...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"829";"– Pois não, pela ordem.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"830";"– É só pra saber, se me permitir, a ordem de inscrição, pra que cada um possa, de acordo com ela e ficando nos seus gabinetes, se programar.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Pela ordem.";"26/10/2021"
"831";"– Perfeitamente.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"832";"– E como será em relação, se puder passar, à Ordem do Dia?";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS";"26/10/2021"
"833";"– De imediato.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"834";"– Desculpe-me, Senador Marcos Rogério.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS";"26/10/2021"
"835";"– Senador Marcos Rogério, agora; Senador Luis Carlos Heinze, na sequência; Senador Eduardo Girão; Senador Rogério Carvalho; Senador Alessandro Vieira; Senadora Soraya Thronicke; Senador Fernando Bezerra; Senador Flávio Bolsonaro. Senadores não membros: Izalci Lucas, Fabiano Contarato, Jean Paul Prates, Zenaide Maia, Leila Barros, Simone Tebet. Randolfe Rodrigues e Omar Aziz, para concluir todos os inscritos.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"836";"Por orientação e determinação anterior, às 17h o Presidente Rodrigo Pacheco comunicou que será o início da Ordem do Dia. Às 17h nós suspenderemos. Disse S. Exa. o Presidente Rodrigo Pacheco que pretende até as 18h30 ou 19h concluir a votação da Ordem do Dia. Então, logo que conclusa a Ordem do Dia, nós retomaremos, para a fala dos oradores e para os encaminhamentos finais de votação do relatório do Senador Renan Calheiros.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"837";"– Obrigada.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS";"26/10/2021"
"838";"– Com o maior prazer. Disponha, Senadora Simone.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"839";"Senador Marcos Rogério, V. Exa. com a palavra.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"840";"– Sr. Presidente, Sras. e Srs. Senadores, voltando à manifestação de voto, agora para manifestar minha posição em relação ao parecer apresentado por S. Exa. o Relator nesta Comissão.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"841";"E começo dizendo por que voto contra o relatório do Senador Renan Calheiros: primeiro, porque esta CPI se revelou um estelionato político; e, segundo, porque o relatório, para mim, é uma grande fake news processual. Estelionato porque esta CPI nasceu para investigar, mas não investigou e protegeu acusados de corrupção nos Estados e Municípios; e o relatório, uma grande fake news processual, porque acusa sem provas e se ancora numa narrativa do jogo pré-eleitoral.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"842";"Mas, senhoras e senhores, não olvidemos que o País e o mundo viveram, permitam-me a expressão, no meio de um furacão, quando a busca por medidas alternativas se tornou a tônica. Todos buscavam encontrar o melhor protocolo sem que houvesse um medicamento sequer com eficácia comprovada. Assim, demonizar a cloroquina não passou de uma estratégia política quando dezenas de outros fármacos também sem eficácia comprovada jamais foram taxados de causadores de morte. Por que esses outros fármacos que os médicos de todo o mundo prescreviam todos os dias não se tornaram famosos nesta CPI? Respondo: simplesmente porque não foram citados pelo Presidente da República.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"843";"Outrossim, se esta CPI realmente considera que a cloroquina ou a hidroxicloroquina realmente causaram mortes de pacientes da covid-19, é imperativo que se incluam no indiciamento todos os Governadores e Prefeitos que distribuíram tais medicamentos para suas populações, o que não ocorreu somente no ano de 2020, como se alega. Eu trouxe, Senador Girão, a esta CPI provas documentais de que pelo menos até os primeiros meses do corrente ano, de 2021, diversos Estados e Municípios continuavam distribuindo tal medicamento. Outros mantinham esses medicamentos em seus protocolos para uso com pacientes da covid. Vale consignar que os Estados, o Distrito Federal e os Municípios solicitaram ao Ministério da Saúde o envio de cloroquina para distribuição ao Sistema Único de Saúde como forma de auxiliar no enfrentamento da pandemia da covid-19. Outros entes subnacionais adquiriram com recursos próprios, como foi o caso do Estado de Alagoas, conforme informação disponível no site oficial do Governo, aquisição de cloroquina para tratamento de pacientes da covid-19, ou seja, não se trata apenas de distribuição pelo Ministério da Saúde, mas de aquisição pelos próprios Estados e Municípios! E são muitos, são muitos!";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"844";"Outrossim, apresentei nesta CPI a eloquente informação do Governador de São Paulo, João Doria, de que não teria sido uma iniciativa do Ministério da Saúde a distribuição de cloroquina para pacientes da covid-19, mas do Governo do São Paulo, por meio do médico David Uip, que coordenava o combate ao coronavírus naquele Estado. Foi quando eu mostrei o vídeo aqui e deu aquela histeria no âmbito da CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"845";"Foi quando eu mostrei o vídeo aqui e deu aquela histeria no âmbito da CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"846";"Assim como outros Estados, Alagoas incluiu medicamento em seu protocolo e recomendou o uso por todas as suas unidades. Em consulta feita no portal da Secretaria de Saúde ainda é possível verificar que a Portaria nº 3.264, de 2020, que previu expressamente o uso desse fármaco.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"847";"Essas e muitas outras informações semelhantes estão à disposição desta Comissão. Assim, se o eminente Relator e outros membros consideram crime a aquisição e distribuição de cloroquina e hidroxicloroquina, deveriam decidir pela inclusão, no indiciamento, de todos os agentes públicos que praticaram a mesma conduta.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"848";"Digo isso, Sr. Presidente, porque essa foi uma prática recorrente. Não que eu defenda aqui o enquadramento de Governadores e Prefeitos que correram em busca de assegurar à sua população, através dos meios disponíveis, atendimento para o enfrentamento a essa crise. Não há razoabilidade de, por uma mesma conduta, se atribuir crime a um e prática lícita ao outro. Isso não é coerente, isso não é correto, isso não é honesto.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"849";"Considero, contudo, que as ações do Ministério da Saúde, assim como dos Estados, do Distrito Federal e dos Municípios, foram feitas no afã, repito, de enfrentar a pandemia e salvar o maior número possível de vidas de brasileiros. Aliás, não se pode afirmar quantas vidas tenham ou não tenham sido salvas em função de diferentes protocolos adotados, os quais, sem exceção, tiveram que considerar medicamentos sem comprovação científica, pelo chamado tratamento off label.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"850";"Logo, o que se conclui é que o trabalho desenvolvido pelo Governo Federal teve como objetivo o combate à pandemia do novo coronavírus em todas as frentes, seja na prevenção, para evitar que as pessoas se contaminassem, seja na oferta do melhor tratamento disponível para os pacientes acometidos pela doença, sem interferir na autonomia médica de prescrever o tratamento mais adequado a cada caso. Tudo o que passa disso, respeitosamente, são especulações sem qualquer comprovação técnica ou científica, para usar expressões tão comumente invocadas por esta CPI.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"851";"Quanto à imunidade de rebanho... Em relação à imunidade de rebanho, o que restou apurado nesta CPI a partir de profissionais aqui ouvidos é que se trata de conceito definindo uma circunstância que se alcança quando a cadeia de transmissão da doença dentro de um grupo populacional é interrompida por se ter atingido um grande percentual de indivíduos já imunizados contra o agente infeccioso. Essa imunização pode ser adquirida pelo número de indivíduos contaminados que se recuperam após sofrer a doença ou que foram vacinados contra o vírus, ou seja, o que foi por muitas vezes demonizado representa, na verdade, um estágio positivo, que é justamente quando o vírus perde a força de se propagar. Trata-se de uma consequência da pandemia, e não de uma medida programada. O fato de esse ou aquele agente público ou quem que seja fazer referência ao conceito, direta ou indiretamente, está muito longe de eventual prática indutora ou que precipite a circunstância ora discutida. Muito pelo contrário, conforme já demonstrado, o Governo Federal agiu concretamente para enfrentar a pandemia debelando o vírus de todas as formas disponíveis. Da mesma forma, agiram outros países, não havendo um sequer em todo o mundo que tenha se mantido ileso da contaminação. Com relação ao gabinete paralelo.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"852";"Muito pelo contrário, conforme já demonstrado, o Governo Federal agiu concretamente para enfrentar a pandemia debelando o vírus de todas as formas disponíveis. Da mesma forma, agiram outros países, não havendo um sequer em todo o mundo que tenha se mantido ileso da contaminação.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"853";"Com relação ao gabinete paralelo.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"854";"Quanto à alegação de existência de um gabinete paralelo, de tudo que foi apurado pela Comissão, o que se conclui é que tudo não passou de mais uma das muitas narrativas criadas ao longo da investigação. Na verdade, trata-se de alegação absolutamente atípica, porque, ainda que o Presidente buscasse consultar especialistas não integrantes do Ministério da Saúde, não seria tolhido de fazê-lo. O que se precisa observar é que o Ministério da Saúde sempre funcionou plenamente e com autonomia. Ainda que o Presidente tivesse se valido de especialistas de fora do Governo para subsidiar eventuais medidas de enfrentamento à pandemia, não se constituiria ilícito de qualquer natureza, mas nem isso restou demonstrado. Diga-se ademais que trata-se de medida comum em qualquer governo.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"855";"Durante essa pandemia, por exemplo, Senador Girão, o Governador de São Paulo, João Doria, contou com uma equipe de 21 médicos e cientistas, incluindo profissionais de fora do Governo, que colaborou gratuitamente com o processo de condução da crise da covid-19, alguns representando inclusive hospitais privados, outros, faculdades de Medicina. Não é crime ouvir especialistas, não é crime ouvir médicos, não é crime ouvir o contraditório, mas o Ministério da Saúde teve a autonomia para tocar a sua agenda de trabalho.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"856";"Agora, o que aconteceu aqui rotularam como gabinete paralelo, o que aconteceu lá em São Paulo também é gabinete paralelo? Vai ser indiciado? Não vai? Veja, Sr. Presidente, por essa razão também estou afastando tal imputação, discordando do relatório apresentado.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"857";"Quanto à expansão da pandemia em Manaus.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"858";"No tópico referente à expansão da pandemia em Manaus, cabe destacar que o Estado do Amazonas passou por duas ondas da covid-19 com aumento do número de novos casos e óbitos. A primeira se deu entre abril e maio de 2020; já a segunda ocorreu entre o final de dezembro de 2020 e o início de 2021. O primeiro fator que pode explicar o crescimento descontrolado do número de infecções no Amazonas é o surgimento de uma nova variante do coronavírus, a variante P1, cepa que possui o maior potencial de transmissão. A investigação demonstrou falhas administrativas graves na administração da saúde municipal e estadual do Amazonas, que relato em meu voto em separado com bastante profundidade. Além disso, inexistiam leitos clínicos e de UTI em números suficientes para atender a demanda, sem contar a falha no processamento de testes diagnósticos, ocasionando demora na abordagem dos dados clínicos dos pacientes, para além do descalabro na gestão da saúde estadual que contribuiu para a crise naquele Estado.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"859";"Aliás, nós tivemos inclusive lá uma CPI que apurou isso. E, num dos debates que aconteceu aqui no âmbito desta CPI, entre colegas que representam, inclusive, aquele Estado, uma frase que me marcou: ""Não faltaram recursos para o enfrentamento da covid no Estado do Amazonas"". Não faltou recurso. Faltou planejamento, faltou pulso firme para enfrentar. Essa fala não foi minha, foi de representante do Estado do Amazonas. Eles tinham a opção de contratar oxigênio, ampliar a quantidade, optaram por não contratar, alegaram problema financeiro, e aqui foi dito: não faltou recurso. Não faltou recurso; faltou planejamento, faltou decisão de fazer. Pelo contrário, foram comprar respiradores de uma loja de vinhos. Esse foi o quadro da saúde no Estado do Amazonas.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"860";"Então, diante desses fatos... E aí, agora há pouco, anunciada mais cedo pelo Relator a inclusão do Governador do Amazonas. E eu espero, sinceramente, Senador Girão, que o Relator acate o apelo que V. Exa. fez. V. Exa. fez um apelo sério para que sejam incluídos também no relatório o indiciamento do Secretário-Executivo do Consórcio Nordeste, o Governador da Bahia, que era o grande gestor do consórcio, o Presidente do consórcio daquele tempo, e a delação, falando inclusive da quantidade de recursos que seriam distribuídos para alguns. Respiradores comprados, pagos antecipadamente, e nunca entregues. Lá o propinoduto estava combinado, inclusive com desvio de parte desses recursos, tirando do povo nordestino para atender o povo de São Paulo. Espero que seja indiciado.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"861";"O caso do Pará é um caso emblemático. A grande mídia escancarou esse escândalo: conversas não republicanas com empresários, com lobbies, algo escandaloso, com evidências, com indícios de crimes fortíssimos. Espero que, assim como houve o acatamento em relação ao caso do Amazonas, também se acate em relação ao Estado do Pará. Lá o desvio não foi pequeno, está na casa dos bilhões, segundo o Ministério Público Federal e segundo a Polícia Federal.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"862";"Então, Sr. Presidente, eu quero concluir a minha fala nesse momento dizendo que não tenho condições de votar o relatório do Senador Renan Calheiros. Vou votar contra. E na expectativa de que aquilo que nós não fizemos aqui na CPI porque não conseguimos fazer, porque optou-se por uma investigação parcial, como se saúde pública no Brasil...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Para discutir.";"26/10/2021"
"863";"– ... fosse competência exclusiva do Governo Federal, excluindo Estados e Municípios dessa competência... Espero que a Polícia Federal, que o Ministério Público Federal possam dar sequência nas investigações que apuram os malfeitos e a prática de corrupção ativa, passiva...";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO";"26/10/2021"
"864";"– ... organização criminosa e fraude à licitação no âmbito dos Estados.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Fora do microfone.";"26/10/2021"
"865";"Muito obrigado.";"Marcos Rogério";"Bloco Parlamentar Vanguarda/DEM - RO. Fora do microfone.";"26/10/2021"
"866";"– Obrigado, Senador Marcos Rogério.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"867";"Próximo inscrito: Senador Luis Carlos Heinze.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"868";"S. Exa. não se encontra.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"869";"Senador Eduardo Girão.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"870";"– Muitíssimo obrigado, Sr. Presidente Randolfe Rodrigues, desta sessão que marca a última, em quase seis meses de trabalho.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para discutir.";"26/10/2021"
"871";"Eu só tenho que, primeiramente, agradecer a Deus pela oportunidade de estar aqui, tentando colaborar, desde o início, com esta Comissão Parlamentar de Inquérito; agradecer também às pessoas no Brasil inteiro, pessoas que muitas vezes oraram por todos nós aqui – e eu agradeço particularmente às que fizeram oração por mim; estou em pé por causa disso, porque eu sei que o clima aqui não é fácil, você tem que ter muita serenidade, muita espiritualidade –; agradecer aos assessores do nosso gabinete, na pessoa aqui do Roberto Lasserre; agradecer a todos os assessores desta Comissão Parlamentar, na pessoa do Leandro, com quem a gente pôde conviver; agradecer aos colegas também, a todos os colegas. A gente pôde conviver, mesmo discordando, às vezes de forma até muito forte, do posicionamento de alguns, mas isso faz parte da democracia.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para discutir.";"26/10/2021"
"872";"Quero me solidarizar com as 605.884 pessoas que perderam a vida, famílias que choram ainda nessa tragédia desse coronavírus, mas quero dizer que nós chegamos aqui com o relatório do Senador Renan Calheiros com 81 indiciados. Olha o número, Senador Marcos Rogério. Tem uma simbologia aí. Eu gosto de observar sinais: 81 é o número de Senadores da República. Eu estou aqui há dois anos e nove meses convivendo com vocês, nunca tive experiência nenhuma na área política, vim aqui direto para o Senado graças à generosidade e à confiança do povo cearense, e eu vi de tudo nesses dois anos e nove meses. Eu vi a primeira votação aqui para um Presidente do Senado ter 82 votos. Enquanto só 81 votavam, tivemos 82 votos. Até hoje esse caso não foi ainda esclarecido. É uma mancha que nós temos aqui no Senado Federal.";"Eduardo Girão";"Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Para discutir.";"26/10/2021"
